day,method,case,t_idx,load_kw
2023-07-01,Noforecast,Charger,48,56.946519
2023-07-01,Noforecast,Charger,49,56.946519
2023-07-01,Noforecast,Charger,50,56.946519
2023-07-01,Noforecast,Charger,51,63.452944
2023-07-01,Noforecast,Charger,52,63.866
2023-07-01,Noforecast,Charger,53,65.79225
2023-07-01,Noforecast,Charger,54,71.92345
2023-07-01,Noforecast,Charger,55,78.642138
2023-07-01,Noforecast,Charger,56,78.642138
2023-07-01,Noforecast,Charger,57,78.642138
2023-07-01,Noforecast,Charger,58,78.642138
2023-07-01,Noforecast,Charger,59,78.642138
2023-07-01,Noforecast,Charger,60,78.642138
2023-07-01,Noforecast,Charger,61,78.642138
2023-07-01,Noforecast,Charger,62,78.642138
2023-07-01,Noforecast,Charger,63,78.642138
2023-07-01,Noforecast,Charger,64,78.642138
2023-07-01,Noforecast,Charger,65,37.60432
2023-07-01,Noforecast,Charger,66,37.604318
2023-07-01,Noforecast,Charger,67,37.60432
2023-07-01,Noforecast,Charger,68,37.60432
2023-07-01,Noforecast,Charger,69,37.60432
2023-07-01,Noforecast,Charger,70,41.052992
2023-07-01,Noforecast,Charger,71,41.052992
2023-07-01,Noforecast,Charger,72,41.052992
2023-07-01,Noforecast,Charger,73,42.932661
2023-07-01,Noforecast,Charger,74,42.932661
2023-07-01,Noforecast,Charger,75,42.932661
2023-07-01,Noforecast,Charger,76,40.233862
2023-07-01,Noforecast,Charger,77,33.0
2023-07-01,Noforecast,Charger,78,33.0
2023-07-01,Noforecast,Charger,79,26.516
2023-07-01,Noforecast,Charger,80,33.0
2023-07-01,Noforecast,Charger,81,26.4
2023-07-01,Noforecast,Charger,82,26.4
2023-07-01,Noforecast,Charger,83,19.8
2023-07-01,Noforecast,Charger,84,19.8
2023-07-01,Noforecast,Charger,85,38.18
2023-07-01,Noforecast,Charger,86,33.0
2023-07-01,Noforecast,Charger,87,33.0
2023-07-01,Noforecast,Charger,88,29.532
2023-07-01,Noforecast,Charger,89,19.8
2023-07-01,Noforecast,Charger,90,13.2
2023-07-01,Noforecast,Charger,91,6.6
2023-07-01,Noforecast,Charger,92,0.544
2023-07-01,Noforecast,Charger,93,4.788
2023-07-01,Noforecast,Charger,94,6.6
2023-07-01,Noforecast,Charger,95,0.0
2023-07-01,Noforecast,Charger,96,0.0
2023-07-01,Persistence,EV,1,0.0
2023-07-01,Persistence,EV,2,0.0
2023-07-01,Persistence,EV,3,0.0
2023-07-01,Persistence,EV,4,6.6
2023-07-01,Persistence,EV,5,6.6
2023-07-01,Persistence,EV,6,13.2
2023-07-01,Persistence,EV,7,13.2
2023-07-01,Persistence,EV,8,13.2
2023-07-01,Persistence,EV,9,13.2
2023-07-01,Persistence,EV,10,13.2
2023-07-01,Persistence,EV,11,13.2
2023-07-01,Persistence,EV,12,13.2
2023-07-01,Persistence,EV,13,6.6
2023-07-01,Persistence,EV,14,6.6
2023-07-01,Persistence,EV,15,13.22
2023-07-01,Persistence,EV,16,6.6
2023-07-01,Persistence,EV,17,14.7824
2023-07-01,Persistence,EV,18,19.8
2023-07-01,Persistence,EV,19,18.2176
2023-07-01,Persistence,EV,20,19.8
2023-07-01,Persistence,EV,21,6.6
2023-07-01,Persistence,EV,22,12.2944
2023-07-01,Persistence,EV,23,16.748
2023-07-01,Persistence,EV,24,13.2
2023-07-01,Persistence,EV,25,19.8
2023-07-01,Persistence,EV,26,19.8
2023-07-01,Persistence,EV,27,19.8
2023-07-01,Persistence,EV,28,15.612
2023-07-01,Persistence,EV,29,33.0
2023-07-01,Persistence,EV,30,26.4
2023-07-01,Persistence,EV,31,33.656
2023-07-01,Persistence,EV,32,44.6176
2023-07-01,Persistence,EV,33,39.6
2023-07-01,Persistence,EV,34,39.6
2023-07-01,Persistence,EV,35,33.0
2023-07-01,Persistence,EV,36,70.112
2023-07-01,Persistence,EV,37,75.00125
2023-07-01,Persistence,EV,38,79.366607
2023-07-01,Persistence,EV,39,73.353393
2023-07-01,Persistence,EV,40,66.0
2023-07-01,Persistence,EV,41,70.474217
2023-07-01,Persistence,EV,42,71.940533
2023-07-01,Persistence,EV,43,74.968
2023-07-01,Persistence,EV,44,78.32
2023-07-01,Persistence,EV,45,35.045393
2023-07-01,Persistence,EV,46,59.292
2023-07-01,Persistence,EV,47,79.366607
2023-07-01,Persistence,EV,48,79.366607
2023-07-01,Persistence,EV,49,79.366607
2023-07-01,Persistence,EV,50,84.984754
2023-07-01,Persistence,EV,51,90.887781
2023-07-01,Persistence,EV,52,94.306917
2023-07-01,Persistence,EV,53,94.306917
2023-07-01,Persistence,EV,54,94.738649
2023-07-01,Persistence,EV,55,94.738649
2023-07-01,Persistence,EV,56,63.935171
2023-07-01,Persistence,EV,57,67.747526
2023-07-01,Persistence,EV,58,57.880474
2023-07-01,Persistence,EV,59,91.959197
2023-07-01,Persistence,EV,60,56.37275
2023-07-01,Persistence,EV,61,52.8
