target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-07-29,ConformalRobust,8.0,6.0,4.0,1.0,14.0,7.0,5.53675,,,
2023-07-30,Persistence,9.0,4.0,4.0,0.8333333333333334,9.75,14.25,3.6685,,,
2023-07-30,HistoricalMedian,9.0,4.0,3.0,1.1666666666666667,2.3333333333333335,7.0,2.4376666666666673,1.0,1.0,1.0
2023-07-30,ConformalRobust,9.0,4.0,3.0,1.1666666666666667,17.333333333333332,9.333333333333334,4.806666666666667,,,
2023-07-31,Persistence,12.0,11.0,9.0,0.8333333333333334,8.555555555555555,6.888888888888889,9.200222222222223,,,
2023-07-31,HistoricalMedian,12.0,12.0,11.0,0.3333333333333333,4.7272727272727275,6.0,7.308136363636364,1.0,1.0,0.9090909090909091
2023-07-31,ConformalRobust,12.0,12.0,11.0,0.3333333333333333,16.272727272727273,9.818181818181818,9.194181818181818,,,
2023-08-01,Persistence,12.0,8.0,7.0,1.0,8.142857142857142,9.714285714285714,3.151,,,
2023-08-01,HistoricalMedian,12.0,11.0,10.0,0.5,9.2,8.9,5.136850000000001,1.0,0.9,1.0
2023-08-01,ConformalRobust,12.0,11.0,10.0,0.5,22.4,14.0,7.543200000000001,,,
2023-08-02,Persistence,11.0,10.0,8.0,0.8333333333333334,11.5,11.125,6.846125000000001,,,
2023-08-02,HistoricalMedian,11.0,10.0,9.0,0.5,13.333333333333334,10.11111111111111,7.287833333333334,0.6666666666666666,1.0,1.0
2023-08-02,ConformalRobust,11.0,10.0,9.0,0.5,13.666666666666666,12.555555555555555,5.690555555555556,,,
2023-08-03,Persistence,11.0,7.0,6.0,1.0,13.166666666666666,10.5,9.552,,,
2023-08-03,HistoricalMedian,11.0,11.0,8.0,1.0,10.625,15.625,9.81575,0.875,0.875,0.75
2023-08-03,ConformalRobust,11.0,11.0,8.0,1.0,18.125,12.375,13.181125,,,
2023-08-04,Persistence,9.0,5.0,5.0,0.6666666666666666,5.8,18.8,10.514199999999999,,,
2023-08-04,HistoricalMedian,9.0,9.0,8.0,0.3333333333333333,6.625,7.75,6.328374999999999,0.875,1.0,0.75
2023-08-04,ConformalRobust,9.0,9.0,8.0,0.3333333333333333,19.375,10.25,12.645875,,,
2023-08-05,Persistence,9.0,8.0,5.0,1.1666666666666667,12.4,11.4,9.3462,,,
2023-08-05,HistoricalMedian,9.0,5.0,5.0,0.6666666666666666,4.6,2.0,5.010199999999999,1.0,1.0,0.8
2023-08-05,ConformalRobust,9.0,5.0,5.0,0.6666666666666666,19.6,11.0,9.6876,,,
2023-08-06,Persistence,7.0,9.0,6.0,0.6666666666666666,8.833333333333334,11.166666666666666,2.6025,,,
2023-08-06,HistoricalMedian,7.0,5.0,5.0,0.3333333333333333,6.0,6.6,3.0747,1.0,1.0,1.0
2023-08-06,ConformalRobust,7.0,5.0,5.0,0.3333333333333333,16.6,12.2,3.4787999999999997,,,
2023-08-07,Persistence,10.0,12.0,9.0,0.6666666666666666,7.555555555555555,7.777777777777778,9.748666666666667,,,
2023-08-07,HistoricalMedian,10.0,12.0,8.0,1.0,8.25,8.625,6.9595,0.875,1.0,1.0
2023-08-07,ConformalRobust,10.0,12.0,8.0,1.0,17.0,11.25,7.067125000000001,,,
2023-08-08,Persistence,10.0,12.0,9.0,0.6666666666666666,9.666666666666666,12.0,8.746222222222222,,,
2023-08-08,HistoricalMedian,10.0,11.0,9.0,0.5,10.0,12.333333333333334,6.643111111111111,1.0,0.7777777777777778,0.7777777777777778
2023-08-08,ConformalRobust,10.0,11.0,9.0,0.5,22.77777777777778,14.777777777777779,12.995555555555557,,,
2023-08-09,Persistence,11.0,11.0,9.0,0.6666666666666666,17.555555555555557,14.555555555555555,9.028666666666666,,,
2023-08-09,HistoricalMedian,11.0,11.0,9.0,0.6666666666666666,14.0,10.555555555555555,8.485333333333333,1.0,0.7777777777777778,0.6666666666666666
2023-08-09,ConformalRobust,11.0,11.0,9.0,0.6666666666666666,23.88888888888889,12.444444444444445,14.991999999999999,,,
